Datetime,Class,Distance (m),Drone Lat,Drone Lon,Drone Heading,Object Lat,Object Lon,Object Heading
2024/05/14-11:54:31,trash_1,inf,37.4191564,-5.9990256,324.09,,,
2024/05/14-11:54:31,trash_0,10.605513260044196,37.4191564,-5.9990256,324.09,37.41925075232093,-5.999006630950327,369.1098690397813
2024/05/14-11:54:31,trash_1,inf,37.4191564,-5.9990256,324.09,,,
2024/05/14-11:54:31,trash_0,10.895287968741876,37.4191564,-5.9990256,324.09,37.4192532730692,-5.999005670233509,369.3185139155972
2024/05/14-11:54:31,trash_1,inf,37.4191564,-5.9990256,324.09,,,
2024/05/14-11:54:31,trash_0,10.4793559851006,37.4191564,-5.9990256,324.09,37.41924946234837,-5.99900559002719,369.7312531432057
2024/05/14-11:54:31,trash_1,inf,37.4191564,-5.9990256,324.09,,,
2024/05/14-11:54:31,trash_0,10.825400428903714,37.4191564,-5.9990256,324.09,37.419252415948286,-5.999004074123592,370.1379996835255
2024/05/14-11:54:31,trash_1,inf,37.4191564,-5.9990256,324.09,,,
2024/05/14-11:54:31,trash_0,10.759381078186161,37.4191564,-5.9990256,324.09,37.41925173937226,-5.999003576752535,370.4391807116285
2024/05/14-11:54:32,trash_0,10.58867928358486,37.4191564,-5.9990256,324.09,37.41925010490956,-5.999003112653956,370.83565515189645
2024/05/14-11:54:32,trash_0,10.622219533377743,37.4191564,-5.9990256,324.09,37.4192502452292,-5.99900203941934,371.32317634355474
2024/05/14-11:54:32,trash_0,10.64391756435667,37.4191564,-5.9990256,324.09,37.41925030872907,-5.9990012023263946,371.7068436101344
2024/05/14-11:54:32,trash_1,inf,37.4191564,-5.9990256,324.09,,,
2024/05/14-11:54:32,trash_0,10.685285020723803,37.4191564,-5.9990256,324.09,37.419250575680714,-5.999000521714058,371.9909477893667
2024/05/14-11:54:32,trash_1,inf,37.4191564,-5.9990256,324.09,,,
2024/05/14-11:54:32,trash_0,10.505172054295855,37.4191564,-5.9990256,324.09,37.41924892332533,-5.999000564303747,372.17863475055145
2024/05/14-11:54:32,trash_1,inf,37.4191564,-5.9990256,324.09,,,
2024/05/14-11:54:32,trash_0,inf,37.4191564,-5.9990256,324.09,,,
2024/05/14-11:54:32,trash_0,inf,37.4191564,-5.9990256,324.09,,,
2024/05/14-11:54:32,trash_0,inf,37.4191564,-5.9990256,324.09,,,
2024/05/14-11:54:32,trash_0,inf,37.4191564,-5.9990256,324.09,,,
